LATITUDE,LONGITUDE,avg_sand_pct,avg_clay_pct,soil_label,infiltration_rate_mm_hr,recommended_structure
10.75,76.75,44.82,29.68,Land,15.0,Recharge Trench
10.75,77.0,45.02,28.68,Land,15.0,Recharge Trench
10.75,77.25,44.58,28.92,Land,15.0,Recharge Trench
10.75,77.5,43.79,30.07,Land,15.0,Recharge Trench
10.75,77.75,43.54,30.25,Land,15.0,Recharge Trench
10.75,78.0,38.65,30.9,Land,15.0,Recharge Trench
10.75,78.25,38.66,31.89,Land,15.0,Recharge Trench
10.75,78.5,37.33,34.6,Land,15.0,Recharge Trench
10.75,78.75,35.88,36.48,Land,3.0,Recharge Shaft
10.75,79.0,34.87,37.23,Land,3.0,Recharge Shaft
10.75,79.25,32.55,37.72,Land,3.0,Recharge Shaft
10.75,79.5,31.79,35.15,Land,3.0,Recharge Shaft
10.75,79.75,33.11,33.23,Land,15.0,Recharge Trench
11.0,75.75,0.0,0.0,Water Body,0.0,None
11.0,76.0,43.02,30.82,Land,15.0,Recharge Trench
11.0,76.25,44.5,31.47,Land,15.0,Recharge Trench
11.0,76.5,41.03,30.84,Land,15.0,Recharge Trench
11.0,76.75,38.67,32.92,Land,15.0,Recharge Trench
11.0,77.0,45.68,26.63,Land,15.0,Recharge Trench
11.0,77.5,38.93,32.8,Land,15.0,Recharge Trench
11.0,78.0,34.0,39.6,Land,3.0,Recharge Shaft
11.0,78.25,37.58,31.3,Land,15.0,Recharge Trench
11.0,78.5,38.97,33.13,Land,15.0,Recharge Trench
11.0,78.75,37.93,36.07,Land,3.0,Recharge Shaft
11.0,79.0,34.98,35.18,Land,3.0,Recharge Shaft
11.0,79.25,36.07,37.1,Land,3.0,Recharge Shaft
11.0,79.5,31.4,34.7,Land,15.0,Recharge Trench
11.0,79.75,32.3,34.33,Land,15.0,Recharge Trench
11.25,75.75,48.27,32.37,Land,15.0,Recharge Trench
11.25,76.0,48.32,33.63,Land,15.0,Recharge Trench
11.25,76.25,43.61,31.0,Land,15.0,Recharge Trench
11.25,76.5,37.64,31.99,Land,15.0,Recharge Trench
11.25,76.75,34.83,32.2,Land,15.0,Recharge Trench
11.25,77.0,43.4,30.68,Land,15.0,Recharge Trench
11.25,77.25,40.82,30.9,Land,15.0,Recharge Trench
11.25,77.5,38.01,31.65,Land,15.0,Recharge Trench
11.25,77.75,36.69,31.87,Land,15.0,Recharge Trench
11.25,78.0,36.02,29.18,Land,15.0,Recharge Trench
11.25,78.25,38.6,33.08,Land,15.0,Recharge Trench
11.25,78.5,38.72,32.87,Land,15.0,Recharge Trench
11.25,78.75,38.31,33.9,Land,15.0,Recharge Trench
11.25,79.0,36.0,35.06,Land,3.0,Recharge Shaft
11.25,79.25,35.52,34.5,Land,15.0,Recharge Trench
11.25,79.5,33.63,34.78,Land,15.0,Recharge Trench
11.25,79.75,30.8,32.23,Land,15.0,Recharge Trench
11.5,75.5,44.53,32.67,Land,15.0,Recharge Trench
11.5,75.75,46.39,33.19,Land,15.0,Recharge Trench
11.5,76.0,45.63,31.87,Land,15.0,Recharge Trench
11.5,76.5,42.3,31.53,Land,15.0,Recharge Trench
11.5,76.75,34.67,30.13,Land,15.0,Recharge Trench
11.5,77.0,40.33,28.47,Land,15.0,Recharge Trench
11.5,77.5,39.67,30.07,Land,15.0,Recharge Trench
11.5,77.75,37.33,29.17,Land,15.0,Recharge Trench
11.5,78.0,34.42,31.92,Land,15.0,Recharge Trench
11.5,78.5,38.13,31.3,Land,15.0,Recharge Trench
11.5,78.75,33.63,33.97,Land,15.0,Recharge Trench
11.5,79.25,35.43,36.67,Land,3.0,Recharge Shaft
11.5,79.5,38.3,32.13,Land,15.0,Recharge Trench
11.5,79.75,32.32,34.2,Land,15.0,Recharge Trench
11.75,75.75,43.5,31.03,Land,15.0,Recharge Trench
11.75,76.0,42.4,31.3,Land,15.0,Recharge Trench
11.75,76.25,40.13,29.27,Land,15.0,Recharge Trench
11.75,76.5,38.77,31.07,Land,15.0,Recharge Trench
11.75,76.75,38.69,32.43,Land,15.0,Recharge Trench
11.75,77.0,39.13,31.0,Land,15.0,Recharge Trench
11.75,77.25,38.76,31.2,Land,15.0,Recharge Trench
11.75,77.5,37.36,33.01,Land,15.0,Recharge Trench
11.75,77.75,37.23,34.82,Land,15.0,Recharge Trench
11.75,78.0,35.67,36.01,Land,3.0,Recharge Shaft
11.75,78.25,37.49,33.49,Land,15.0,Recharge Trench
11.75,78.5,37.65,30.68,Land,15.0,Recharge Trench
11.75,78.75,36.34,35.3,Land,3.0,Recharge Shaft
11.75,79.0,36.67,35.07,Land,3.0,Recharge Shaft
11.75,79.25,36.12,34.79,Land,15.0,Recharge Trench
11.75,79.5,35.33,33.8,Land,15.0,Recharge Trench
11.75,79.75,33.78,33.97,Land,15.0,Recharge Trench
12.0,75.0,0.0,0.0,Water Body,0.0,None
12.0,75.25,42.52,32.57,Land,15.0,Recharge Trench
12.0,75.5,44.04,32.01,Land,15.0,Recharge Trench
12.0,75.75,43.72,32.7,Land,15.0,Recharge Trench
12.0,76.0,41.5,30.55,Land,15.0,Recharge Trench
12.0,76.25,41.17,32.52,Land,15.0,Recharge Trench
12.0,76.5,39.87,33.19,Land,15.0,Recharge Trench
12.0,76.75,37.33,33.47,Land,15.0,Recharge Trench
12.0,77.0,43.3,30.33,Land,15.0,Recharge Trench
12.0,77.25,39.59,30.09,Land,15.0,Recharge Trench
12.0,77.5,38.29,32.71,Land,15.0,Recharge Trench
12.0,77.75,36.8,35.52,Land,3.0,Recharge Shaft
12.0,78.0,36.12,33.3,Land,15.0,Recharge Trench
12.0,78.25,38.54,32.98,Land,15.0,Recharge Trench
12.0,78.5,38.73,29.37,Land,15.0,Recharge Trench
12.0,78.75,38.43,30.47,Land,15.0,Recharge Trench
12.25,75.25,47.38,33.95,Land,15.0,Recharge Trench
12.25,75.5,46.45,32.95,Land,15.0,Recharge Trench
12.25,75.75,42.15,33.27,Land,15.0,Recharge Trench
12.25,76.0,40.31,31.77,Land,15.0,Recharge Trench
12.25,76.25,40.2,32.67,Land,15.0,Recharge Trench
12.25,76.5,38.63,34.28,Land,15.0,Recharge Trench
12.25,76.75,37.12,34.51,Land,15.0,Recharge Trench
12.25,77.0,35.06,35.88,Land,3.0,Recharge Shaft
12.25,77.25,39.42,31.36,Land,15.0,Recharge Trench
12.25,77.5,39.52,30.63,Land,15.0,Recharge Trench
12.25,77.75,38.14,35.51,Land,3.0,Recharge Shaft
12.25,78.0,38.6,34.03,Land,15.0,Recharge Trench
12.25,78.25,38.55,33.25,Land,15.0,Recharge Trench
12.25,78.5,38.38,32.37,Land,15.0,Recharge Trench
12.25,78.75,38.5,30.1,Land,15.0,Recharge Trench
12.25,79.0,37.24,31.76,Land,15.0,Recharge Trench
12.25,79.25,37.6,32.47,Land,15.0,Recharge Trench
12.25,79.5,36.8,33.27,Land,15.0,Recharge Trench
12.25,79.75,32.72,32.55,Land,15.0,Recharge Trench
12.5,75.0,46.27,33.65,Land,15.0,Recharge Trench
12.5,75.25,48.82,32.53,Land,15.0,Recharge Trench
12.5,75.5,51.25,29.85,Land,15.0,Recharge Trench
12.5,75.75,43.74,33.21,Land,15.0,Recharge Trench
12.5,76.0,41.08,33.44,Land,15.0,Recharge Trench
12.5,76.25,41.77,33.53,Land,15.0,Recharge Trench
12.5,76.5,40.33,32.57,Land,15.0,Recharge Trench
12.5,76.75,37.78,36.4,Land,3.0,Recharge Shaft
12.5,77.0,35.22,35.72,Land,3.0,Recharge Shaft
12.5,77.25,39.71,33.7,Land,15.0,Recharge Trench
12.5,77.5,41.96,33.12,Land,15.0,Recharge Trench
12.5,77.75,39.69,34.64,Land,15.0,Recharge Trench
12.5,78.0,42.49,33.68,Land,15.0,Recharge Trench
12.5,78.25,40.18,31.69,Land,15.0,Recharge Trench
12.5,78.5,39.73,30.43,Land,15.0,Recharge Trench
12.5,78.75,39.9,34.12,Land,15.0,Recharge Trench
12.5,79.0,37.8,32.04,Land,15.0,Recharge Trench
12.5,79.25,36.93,32.57,Land,15.0,Recharge Trench
12.5,79.5,35.98,32.47,Land,15.0,Recharge Trench
12.5,79.75,35.67,34.04,Land,15.0,Recharge Trench
12.5,80.0,35.73,33.58,Land,15.0,Recharge Trench
12.75,74.75,0.0,0.0,Water Body,0.0,None
12.75,75.0,45.53,33.35,Land,15.0,Recharge Trench
12.75,75.25,45.87,33.11,Land,15.0,Recharge Trench
12.75,75.5,48.67,29.58,Land,15.0,Recharge Trench
12.75,75.75,41.17,31.58,Land,15.0,Recharge Trench
12.75,76.0,38.65,32.61,Land,15.0,Recharge Trench
12.75,76.25,41.35,32.6,Land,15.0,Recharge Trench
12.75,76.5,41.42,32.31,Land,15.0,Recharge Trench
12.75,76.75,42.42,33.39,Land,15.0,Recharge Trench
12.75,77.0,43.48,33.81,Land,15.0,Recharge Trench
12.75,77.25,47.85,30.82,Land,15.0,Recharge Trench
12.75,77.5,53.54,27.09,Land,15.0,Recharge Trench
12.75,77.75,44.22,33.73,Land,15.0,Recharge Trench
12.75,78.0,45.22,31.98,Land,15.0,Recharge Trench
12.75,78.25,43.82,30.8,Land,15.0,Recharge Trench
12.75,78.5,40.69,32.36,Land,15.0,Recharge Trench
12.75,78.75,39.15,32.35,Land,15.0,Recharge Trench
12.75,79.0,37.63,33.72,Land,15.0,Recharge Trench
12.75,79.25,35.47,34.4,Land,15.0,Recharge Trench
12.75,79.5,36.52,33.95,Land,15.0,Recharge Trench
12.75,79.75,36.44,36.18,Land,3.0,Recharge Shaft
12.75,80.0,33.8,34.97,Land,15.0,Recharge Trench
13.0,75.5,45.52,32.74,Land,15.0,Recharge Trench
13.0,75.75,40.33,32.31,Land,15.0,Recharge Trench
13.0,76.0,42.33,31.9,Land,15.0,Recharge Trench
13.0,76.25,38.92,33.3,Land,15.0,Recharge Trench
13.0,76.5,43.48,32.01,Land,15.0,Recharge Trench
13.0,76.75,47.74,30.71,Land,15.0,Recharge Trench
13.0,77.0,53.03,26.17,Land,15.0,Recharge Trench
13.0,77.25,57.03,26.11,Land,15.0,Recharge Trench
13.0,77.5,59.33,25.37,Land,15.0,Recharge Trench
13.0,77.75,52.63,27.73,Land,15.0,Recharge Trench
13.0,78.0,52.62,28.93,Land,15.0,Recharge Trench
13.0,78.25,44.47,30.33,Land,15.0,Recharge Trench
13.0,78.5,39.03,33.87,Land,15.0,Recharge Trench
13.0,78.75,39.8,36.6,Land,3.0,Recharge Shaft
13.0,79.0,36.62,34.78,Land,15.0,Recharge Trench
13.0,79.25,36.42,33.83,Land,15.0,Recharge Trench
13.0,79.5,37.24,33.46,Land,15.0,Recharge Trench
13.0,79.75,34.93,33.87,Land,15.0,Recharge Trench
13.0,80.0,36.57,34.98,Land,15.0,Recharge Trench
13.25,74.5,0.0,0.0,Water Body,0.0,None
13.25,74.75,39.07,36.87,Land,3.0,Recharge Shaft
13.25,75.0,42.22,34.39,Land,15.0,Recharge Trench
13.25,75.25,44.67,31.33,Land,15.0,Recharge Trench
13.25,75.5,40.4,32.83,Land,15.0,Recharge Trench
13.25,75.75,40.97,31.07,Land,15.0,Recharge Trench
13.25,76.0,40.07,32.58,Land,15.0,Recharge Trench
13.25,76.25,44.08,31.43,Land,15.0,Recharge Trench
13.25,76.5,47.35,31.92,Land,15.0,Recharge Trench
13.25,76.75,49.0,31.79,Land,15.0,Recharge Trench
13.25,77.0,51.37,30.28,Land,15.0,Recharge Trench
13.25,77.25,56.89,26.48,Land,15.0,Recharge Trench
13.25,77.5,59.33,25.98,Land,15.0,Recharge Trench
13.25,77.75,54.24,27.51,Land,15.0,Recharge Trench
13.25,78.0,55.63,25.97,Land,15.0,Recharge Trench
13.25,78.5,42.05,34.32,Land,15.0,Recharge Trench
13.25,78.75,39.37,34.97,Land,15.0,Recharge Trench
13.25,79.0,36.8,34.9,Land,15.0,Recharge Trench
13.25,79.25,35.96,35.64,Land,3.0,Recharge Shaft
13.25,79.5,35.62,35.36,Land,3.0,Recharge Shaft
13.25,79.75,36.77,31.13,Land,15.0,Recharge Trench
13.25,80.0,37.98,33.4,Land,15.0,Recharge Trench
13.25,80.25,34.83,36.4,Land,3.0,Recharge Shaft
13.5,74.75,44.73,35.4,Land,3.0,Recharge Shaft
13.5,75.0,43.3,33.83,Land,15.0,Recharge Trench
13.5,75.25,42.47,30.23,Land,15.0,Recharge Trench
13.5,75.5,40.89,31.71,Land,15.0,Recharge Trench
13.5,75.75,37.99,34.53,Land,15.0,Recharge Trench
13.5,76.0,40.58,31.85,Land,15.0,Recharge Trench
13.5,76.25,42.53,34.9,Land,15.0,Recharge Trench
13.5,76.5,45.33,34.5,Land,15.0,Recharge Trench
13.5,76.75,46.37,32.23,Land,15.0,Recharge Trench
13.5,77.0,49.28,30.35,Land,15.0,Recharge Trench
13.5,77.25,43.5,34.93,Land,15.0,Recharge Trench
13.5,77.5,55.24,27.57,Land,15.0,Recharge Trench
13.5,77.75,51.05,29.62,Land,15.0,Recharge Trench
13.5,78.0,48.16,31.14,Land,15.0,Recharge Trench
13.5,78.25,43.7,31.97,Land,15.0,Recharge Trench
13.5,78.5,43.37,33.68,Land,15.0,Recharge Trench
13.5,78.75,39.95,35.03,Land,3.0,Recharge Shaft
13.5,79.0,37.3,35.43,Land,3.0,Recharge Shaft
13.5,79.25,36.57,37.77,Land,3.0,Recharge Shaft
13.5,79.5,36.78,36.1,Land,3.0,Recharge Shaft
13.5,79.75,37.97,33.77,Land,15.0,Recharge Trench
13.5,80.0,38.09,31.91,Land,15.0,Recharge Trench
13.75,74.5,0.0,0.0,Water Body,0.0,None
13.75,74.75,36.9,35.23,Land,3.0,Recharge Shaft
13.75,75.0,41.22,30.15,Land,15.0,Recharge Trench
13.75,75.25,41.6,30.75,Land,15.0,Recharge Trench
13.75,75.5,39.44,33.24,Land,15.0,Recharge Trench
13.75,75.75,41.47,32.83,Land,15.0,Recharge Trench
13.75,76.0,41.37,33.98,Land,15.0,Recharge Trench
13.75,76.25,40.13,33.95,Land,15.0,Recharge Trench
13.75,76.5,43.48,33.9,Land,15.0,Recharge Trench
13.75,76.75,34.83,39.1,Land,3.0,Recharge Shaft
13.75,77.0,37.51,35.6,Land,3.0,Recharge Shaft
13.75,77.25,45.74,33.09,Land,15.0,Recharge Trench
13.75,77.75,49.7,32.9,Land,15.0,Recharge Trench
13.75,78.0,49.12,31.45,Land,15.0,Recharge Trench
13.75,78.25,43.08,33.91,Land,15.0,Recharge Trench
13.75,78.5,41.82,33.57,Land,15.0,Recharge Trench
13.75,78.75,40.74,36.6,Land,3.0,Recharge Shaft
13.75,79.0,39.5,35.49,Land,3.0,Recharge Shaft
13.75,79.25,39.9,34.19,Land,15.0,Recharge Trench
13.75,79.5,37.31,34.26,Land,15.0,Recharge Trench
13.75,79.75,38.12,34.53,Land,15.0,Recharge Trench
13.75,80.0,33.36,33.98,Land,15.0,Recharge Trench
14.0,74.75,42.95,29.92,Land,15.0,Recharge Trench
14.0,75.25,40.56,30.99,Land,15.0,Recharge Trench
14.0,75.5,38.82,34.32,Land,15.0,Recharge Trench
14.0,75.75,37.07,34.27,Land,15.0,Recharge Trench
14.0,76.0,43.77,33.34,Land,15.0,Recharge Trench
14.0,76.25,44.41,32.09,Land,15.0,Recharge Trench
14.0,76.5,43.83,34.93,Land,15.0,Recharge Trench
14.0,76.75,38.2,36.6,Land,3.0,Recharge Shaft
14.0,77.25,50.13,30.13,Land,15.0,Recharge Trench
14.0,77.5,42.47,33.89,Land,15.0,Recharge Trench
14.0,77.75,50.18,29.7,Land,15.0,Recharge Trench
14.0,78.0,51.17,31.3,Land,15.0,Recharge Trench
14.0,78.25,44.19,34.3,Land,15.0,Recharge Trench
14.0,78.5,41.37,33.97,Land,15.0,Recharge Trench
14.0,78.75,40.02,35.97,Land,3.0,Recharge Shaft
14.0,79.0,36.5,35.15,Land,3.0,Recharge Shaft
14.0,79.25,38.02,35.21,Land,3.0,Recharge Shaft
14.0,79.5,38.12,35.95,Land,3.0,Recharge Shaft
14.0,79.75,38.21,35.49,Land,3.0,Recharge Shaft
14.0,80.0,35.63,35.17,Land,3.0,Recharge Shaft
14.25,74.25,0.0,0.0,Water Body,0.0,None
14.25,74.5,44.83,25.33,Land,15.0,Recharge Trench
14.25,74.75,43.63,27.47,Land,15.0,Recharge Trench
14.25,75.0,43.15,28.97,Land,15.0,Recharge Trench
14.25,75.25,40.9,31.53,Land,15.0,Recharge Trench
14.25,75.5,33.73,39.6,Land,3.0,Recharge Shaft
14.25,75.75,39.98,33.43,Land,15.0,Recharge Trench
14.25,76.0,39.93,35.44,Land,3.0,Recharge Shaft
14.25,76.25,39.07,35.03,Land,3.0,Recharge Shaft
14.25,76.5,41.53,32.35,Land,15.0,Recharge Trench
14.25,76.75,36.92,37.23,Land,3.0,Recharge Shaft
14.25,77.0,40.53,35.3,Land,3.0,Recharge Shaft
14.25,77.25,41.37,33.43,Land,15.0,Recharge Trench
14.25,77.5,38.2,33.2,Land,15.0,Recharge Trench
14.25,77.75,45.71,31.64,Land,15.0,Recharge Trench
14.25,78.0,48.47,30.93,Land,15.0,Recharge Trench
14.25,78.25,44.8,32.23,Land,15.0,Recharge Trench
14.25,78.5,40.58,34.55,Land,15.0,Recharge Trench
14.25,78.75,40.03,35.8,Land,3.0,Recharge Shaft
14.25,79.0,36.68,35.62,Land,3.0,Recharge Shaft
14.25,79.5,39.53,35.8,Land,3.0,Recharge Shaft
14.25,79.75,36.93,33.4,Land,15.0,Recharge Trench
14.25,80.0,32.59,33.71,Land,15.0,Recharge Trench
14.5,74.5,43.3,28.7,Land,15.0,Recharge Trench
14.5,74.75,44.59,27.76,Land,15.0,Recharge Trench
14.5,75.0,43.43,29.9,Land,15.0,Recharge Trench
14.5,75.25,37.46,33.76,Land,15.0,Recharge Trench
14.5,75.5,32.03,38.12,Land,3.0,Recharge Shaft
14.5,75.75,34.08,40.67,Land,3.0,Recharge Shaft
14.5,76.0,32.73,38.68,Land,3.0,Recharge Shaft
14.5,76.25,38.14,34.74,Land,15.0,Recharge Trench
14.5,76.5,37.31,35.17,Land,3.0,Recharge Shaft
14.5,76.75,38.03,36.73,Land,3.0,Recharge Shaft
14.5,77.0,38.32,36.07,Land,3.0,Recharge Shaft
14.5,77.25,40.28,33.67,Land,15.0,Recharge Trench
14.5,77.75,38.39,34.97,Land,15.0,Recharge Trench
14.5,78.0,44.58,32.67,Land,15.0,Recharge Trench
14.5,78.25,36.85,33.82,Land,15.0,Recharge Trench
14.5,78.5,37.21,35.91,Land,3.0,Recharge Shaft
14.5,78.75,38.01,34.74,Land,15.0,Recharge Trench
14.5,79.0,37.91,34.96,Land,15.0,Recharge Trench
14.5,79.25,38.37,35.5,Land,3.0,Recharge Shaft
14.5,79.5,37.45,35.55,Land,3.0,Recharge Shaft
14.5,79.75,35.77,35.0,Land,15.0,Recharge Trench
14.5,80.0,33.07,33.17,Land,15.0,Recharge Trench
14.75,74.25,41.7,29.53,Land,15.0,Recharge Trench
14.75,74.5,42.71,28.51,Land,15.0,Recharge Trench
14.75,74.75,43.24,29.37,Land,15.0,Recharge Trench
14.75,75.0,39.6,31.8,Land,15.0,Recharge Trench
14.75,75.25,34.58,38.38,Land,3.0,Recharge Shaft
14.75,75.5,30.13,40.49,Land,3.0,Recharge Shaft
14.75,75.75,30.87,39.53,Land,3.0,Recharge Shaft
14.75,76.0,31.45,36.42,Land,3.0,Recharge Shaft
14.75,76.25,34.43,36.1,Land,3.0,Recharge Shaft
14.75,76.5,37.68,35.33,Land,3.0,Recharge Shaft
14.75,76.75,47.47,28.97,Land,15.0,Recharge Trench
14.75,77.0,41.2,32.42,Land,15.0,Recharge Trench
14.75,77.25,40.12,32.54,Land,15.0,Recharge Trench
14.75,77.5,41.3,32.51,Land,15.0,Recharge Trench
14.75,78.0,41.08,32.02,Land,15.0,Recharge Trench
14.75,78.25,39.47,32.58,Land,15.0,Recharge Trench
14.75,78.5,34.23,37.02,Land,3.0,Recharge Shaft
14.75,78.75,40.75,33.32,Land,15.0,Recharge Trench
14.75,79.0,37.7,36.23,Land,3.0,Recharge Shaft
14.75,79.25,39.47,35.86,Land,3.0,Recharge Shaft
14.75,79.5,39.2,33.84,Land,15.0,Recharge Trench
14.75,79.75,35.0,34.48,Land,15.0,Recharge Trench
15.0,74.25,41.4,33.17,Land,15.0,Recharge Trench
15.0,74.75,42.89,28.84,Land,15.0,Recharge Trench
15.0,75.0,39.23,36.0,Land,3.0,Recharge Shaft
15.0,75.25,32.5,41.34,Land,3.0,Recharge Shaft
15.0,75.5,29.6,39.63,Land,3.0,Recharge Shaft
15.0,75.75,28.79,37.87,Land,3.0,Recharge Shaft
15.0,76.0,34.37,34.77,Land,15.0,Recharge Trench
15.0,76.25,34.06,36.4,Land,3.0,Recharge Shaft
15.0,76.75,47.9,31.4,Land,15.0,Recharge Trench
15.0,77.0,37.08,36.88,Land,3.0,Recharge Shaft
15.0,77.25,37.09,35.92,Land,3.0,Recharge Shaft
15.0,77.5,43.97,32.17,Land,15.0,Recharge Trench
15.0,77.75,41.17,33.55,Land,15.0,Recharge Trench
15.0,78.0,39.31,34.8,Land,15.0,Recharge Trench
15.0,78.25,36.41,35.58,Land,3.0,Recharge Shaft
15.0,78.75,43.47,32.71,Land,15.0,Recharge Trench
15.0,79.0,43.27,31.6,Land,15.0,Recharge Trench
15.0,79.25,39.23,35.2,Land,3.0,Recharge Shaft
15.0,79.5,38.53,34.23,Land,15.0,Recharge Trench
15.0,79.75,37.35,32.4,Land,15.0,Recharge Trench
15.25,74.25,38.87,33.38,Land,15.0,Recharge Trench
15.25,74.5,42.35,28.95,Land,15.0,Recharge Trench
15.25,74.75,40.22,32.43,Land,15.0,Recharge Trench
15.25,75.0,39.53,36.28,Land,3.0,Recharge Shaft
15.25,75.25,29.3,35.47,Land,3.0,Recharge Shaft
15.25,75.5,30.23,39.13,Land,3.0,Recharge Shaft
